internal_id,chapter/use,source title,creator,source page,license,commercial use,modification allowed,attribution required,accessed/downloaded date,local research path,duration,file format,subjective notes,technical notes,status
A-01,Seed/ambient,Roomtone Bedroom Yew,leonelmail,https://freesound.org/people/leonelmail/sounds/329569/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,31.047 s,MP3 44.1 kHz stereo 128 kbps,"Neutral compact room air; reject if domestic events or short-loop recognition emerge","Phase 10.2: no legal local master; no technical or subjective audition; first target remains -30 LUFS-I",not-auditioned/access-blocked
A-02,Seed/ambient,Ambience City Quiet Night Air Tone,leonelmail,https://freesound.org/people/leonelmail/sounds/427841/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,139.455 s,MP3 44.1 kHz stereo 128 kbps,"Dark neutral-air alternate; reject if city rhythm or tonal noise identifies place","Lossy-only source; audition codec noise after gain matching",candidate
B-01,Forest/wind,Wind rustling leaves through tree Cardiff,gsparrysound,https://freesound.org/people/gsparrysound/sounds/848978/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,141.092 s,WAV 48 kHz 24-bit stereo,"Autumn single-tree woodland perspective; provenance place name is not story canon","Phase 10.2: no legal local master; no technical or subjective audition; planned -30 LUFS-I check pending",not-auditioned/access-blocked
B-02,Forest/wind,Windy Autumn Forest Soundscape 2,Porphyr,https://freesound.org/people/Porphyr/sounds/209339/,CC BY 4.0,yes,yes,yes,accessed 2026-08-22; not downloaded,,180.856 s,WAV 48 kHz 24-bit stereo,"Seasonally apt; rain and birds may disqualify","49.7 MB master; attribution plus change notice required",candidate
C-01,Forest/leaves,Leaves rustle in the wind,Cinetony,https://freesound.org/people/Cinetony/sounds/575380/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,106.000 s,WAV 48 kHz 24-bit stereo,"Strong near-mid foliage candidate; tagged birds so select only clean section","Phase 10.2: no legal local master; no technical or subjective audition; mono/transient test pending",not-auditioned/access-blocked
C-02,Forest/leaves,Wind(leaves).WAV,o_ciz,https://freesound.org/people/o_ciz/sounds/475448/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,168.280 s,WAV 96 kHz 16-bit stereo,"Long alternate with no stated species; may contain too much broad wind","61.7 MB master; downsample working copy to 48 kHz only",candidate
D-01,Tree/forest_pause,Derivative of Leaves rustle in the wind,Cinetony,https://freesound.org/people/Cinetony/sounds/575380/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,TBD excerpt,WAV derivative planned,"Same-world continuity; quieter event-clean excerpt with reduced activity","Phase 10.2: parent C-01 unavailable and not auditioned; derivative not created",not-auditioned/parent-unavailable
D-02,Tree/forest_pause,Derivative of Wind rustling leaves through tree Cardiff,gsparrysound,https://freesound.org/people/gsparrysound/sounds/848978/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,TBD excerpt,WAV derivative planned,"Alternate same-world wind continuity","Parent B-01; avoid audible low-pass sweep",candidate
E-01,Tree to Room/threshold air,still air tone carpeted room.WAV,Geoff-Bremner-Audio,https://freesound.org/people/Geoff-Bremner-Audio/sounds/707054/,CC BY 4.0,yes,yes,yes,accessed 2026-08-22; not downloaded,,785.801 s,WAV 48 kHz 24-bit mono,"Long neutral enclosed air; mono supports gradual width closure; reject if studio-dead","Phase 10.2: no legal local master; no audition; CC BY credit and change notice remain mandatory if adopted",not-auditioned/access-blocked
E-02,Tree to Room/threshold air,Room Tone.wav,Soapuel,https://freesound.org/people/Soapuel/sounds/489443/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,130.671 s,WAV 48 kHz 24-bit stereo,"Neutral alternate; reject if hard indoor identity or tonal hum","35.9 MB master; audition as bed component rather than file switch",candidate
F-01,Room/room_ambience,Room Tone_Silent room.wav,Mar.Sounds,https://freesound.org/people/Mar.Sounds/sounds/630427/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,118.444 s,WAV 48 kHz 24-bit stereo,"Faint outside leakage and lived-in room fit; reject identifiable cars birds or neighbours","Phase 10.2: no legal local master; no audition or residue-separation test",not-auditioned/access-blocked
F-02,Room/room_ambience,bedroom roomtone evening,Yuval,https://freesound.org/people/Yuval/sounds/196199/,CC0 1.0,yes,yes,no,accessed 2026-08-22; not downloaded,,965.929 s,WAV 48 kHz 24-bit stereo,"Closed-window evening leakage; identifiable birds may disqualify","265.3 MB master; select event-clean 60-90 s before loop work",candidate
